temp(c),pressure(mb),humidity(),cloud cover(),wind speed(mph),wind dir.,precip.(mm)
31,1002,70,0,9,6,0
30,1002,76,5,8,6,0
29,1002,80,10,7,6,0.1
30,1003,77,0,9,6,0
33,1003,63,26,11,6,0
36,1002,53,72,12,6,0
36,1000,54,57,10,6,0
34,999,60,41,9,6,0
32,1001,67,27,8,6,0
30,1001,72,32,8,7,0
30,1000,77,32,6,7,0
30,1002,75,28,7,6,0.9
34,1003,61,63,9,7,1.6
36,1001,52,86,8,6,0
37,999,52,53,6,6,0
36,999,55,18,5,6,0
32,1000,62,10,5,6,0
31,1000,67,31,5,6,0
30,1000,70,36,4,7,0
31,1001,68,47,5,9,0
36,1002,56,62,5,8,0
38,1001,47,42,4,6,0
38,1000,46,40,4,6,0
37,999,51,45,2,6,0
34,1001,56,47,4,5,0
33,1001,61,50,4,6,0
32,1001,65,50,3,8,0
33,1002,65,43,2,8,0
36,1003,56,36,3,5,1.5
37,1002,47,40,5,4,3
38,1000,45,52,4,3,0
36,999,52,70,3,3,0
34,1000,58,88,3,5,0
32,1001,64,94,3,5,0.1
31,1000,70,77,2,3,0.1
32,1001,69,52,4,3,0.9
35,1002,60,37,5,3,3.7
36,1001,52,46,5,3,3.9
37,999,53,55,5,4,0
36,998,58,51,4,5,0
33,999,62,43,4,6,0
32,999,67,27,5,7,0
31,999,70,29,4,7,0
32,1000,68,21,4,7,0.1
35,1001,54,12,7,5,0
37,999,47,24,8,6,0
36,997,49,0,7,6,0
35,997,55,0,6,6,0
33,999,61,13,5,6,0
32,999,66,35,5,6,0
31,998,70,27,4,7,0
32,998,68,26,5,7,0.1
35,999,57,35,7,7,0.3
37,998,50,56,8,6,0.1
37,996,50,47,7,6,0
35,996,57,80,7,6,0
33,998,62,75,7,6,0
32,998,67,61,7,6,0
31,997,71,38,7,6,0.3
30,998,71,24,7,6,2.3
31,1000,67,29,10,6,6.2
32,999,73,57,15,5,6.9
33,998,74,70,13,5,2.2
32,998,78,66,11,4,0.1
30,1000,83,60,10,5,0
